[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.],[0. 0. 0.]
[-0.19999999  0.075       0.1525    ],[-0.20020509  0.07501508  0.33996665],[-0.37264434  0.08397902  0.38879788],[-0.58453637  0.09499287  0.44883281],[-0.75760525  0.10536218  0.49432826],[-0.9832902   0.0648182   0.51478583],[-1.01175284  0.08337656  0.61695516]
[-0.19999999  0.075       0.1525    ],[-0.20020883  0.07498682  0.3399649 ],[-0.37489936  0.05895858  0.37771577],[-0.58956242  0.03926234  0.42414033],[-0.76617706  0.02700321  0.45220774],[-0.98530412 -0.04355671  0.45233136],[-1.02436972 -0.02692043  0.55127645]
[-0.19999999  0.075       0.1525    ],[-0.20020626  0.07498951  0.33996487],[-0.37612343  0.06170952  0.37276426],[-0.59229481  0.04538963  0.41310656],[-0.76957637  0.0354763   0.43768138],[-0.98869854 -0.03509344  0.4386659 ],[-1.03119707 -0.00932333  0.53417993]
[-0.19999999  0.075       0.1525    ],[-0.20020451  0.07499907  0.33996364],[-0.37805316  0.06537636  0.36175048],[-0.59660351  0.05355255  0.38856411],[-0.77516818  0.05575636  0.37299049],[-0.99351048 -0.00125686  0.32747573],[-1.05295241  0.03183882  0.41092896]
[-0.19999999  0.075       0.1525    ],[-0.20019718  0.07496774  0.33996376],[-0.3747862   0.03691169  0.35632366],[-0.58933222 -0.00985232  0.37647021],[-0.76384795 -0.035331    0.3443982 ],[-0.96568453 -0.12596668  0.28081098],[-1.03761756 -0.10075045  0.35685629]
[-0.19999999  0.075       0.1525    ],[-0.20018543  0.07493815  0.33996382],[-0.36705989  0.00921588  0.34548742],[-0.57212847 -0.07154708  0.3523218 ],[-0.73716319 -0.12181628  0.30363786],[-0.91641903 -0.23972617  0.22020729],[-0.98803419 -0.22750176  0.29967353]
[-0.19999999  0.075       0.1525    ],[-0.20018002  0.07493787  0.33996436],[-0.36577168  0.0058331   0.34099966],[-0.56926543 -0.07908726  0.34231934],[-0.73078173 -0.12833832  0.28214729],[-0.90342128 -0.24245366  0.18129885],[-0.97792304 -0.23805529  0.25890803]
[-0.19999999  0.075       0.1525    ],[-0.20017712  0.07494409  0.33996508],[-0.36744004  0.01090647  0.32903486],[-0.57298976 -0.06778698  0.3156547 ],[-0.73054117 -0.11099407  0.24186763],[-0.89778495 -0.21790527  0.12526308],[-0.98658311 -0.2117627   0.18584579]
[-0.19999999  0.075       0.1525    ],[-0.2001736   0.07494655  0.33996564],[-0.36718178  0.01087903  0.32578838],[-0.57241958 -0.06785174  0.30841815],[-0.72753859 -0.10771801  0.22790238],[-0.8885591  -0.20319399  0.09390426],[-0.97721535 -0.21375555  0.15408446]
[-0.19999999  0.075       0.1525    ],[-0.20017204  0.0749488   0.33996609],[-0.36756945  0.01390296  0.3187744 ],[-0.57328683 -0.06111479  0.29278719],[-0.72709584 -0.09861511  0.20870219],[-0.88584715 -0.18985383  0.06915917],[-0.97433567 -0.20319325  0.12903312]
[-0.19999999  0.075       0.1525    ],[-0.20016979  0.07494803  0.33996648],[-0.3660233   0.01053631  0.31669569],[-0.56984442 -0.06861746  0.28815314],[-0.72164476 -0.1065641   0.20068598],[-0.87882441 -0.20304225  0.06290185],[-0.97436976 -0.20442817  0.1125237 ]
